slide,блоков,медиана_%,квартильный_размах,СКО,мин_%,макс_%
TCGA-13-A5FT-01Z-00-DX1.2B292DC8-7336-4CD9-AB1A-F6F482E6151A,485,48.6,34.7,24.2,2.7,100.0
TCGA-23-1028-01Z-00-DX1.117B4B7B-F796-4D33-A645-CD80E5C43E6D,200,36.8,47.0,25.5,0.9,93.6
TCGA-23-2643-01Z-00-DX1.E60DF03D-326E-4182-84DA-77263C4C52B3,219,78.5,35.7,22.1,18.7,99.8
TCGA-42-2582-01Z-00-DX1.891d6182-c96b-4709-abeb-314d6874856a,102,21.6,22.9,17.4,2.3,85.9
TCGA-42-2587-01Z-00-DX1.7a887a16-a8bc-403b-ab71-a8b43e5613fc,55,23.0,18.7,15.7,5.7,95.7
TCGA-42-2588-01Z-00-DX1.e0bd9f78-2078-4bc3-867b-136d117f7b13,126,43.6,32.5,21.8,7.9,94.0
TCGA-42-2589-01Z-00-DX1.c3abd56a-7d75-4972-982f-3d86da96ad1b,89,43.5,61.0,33.9,1.7,100.0
TCGA-42-2590-01Z-00-DX1.83ff5df9-0f36-4884-a93e-f2928ff3c719,205,27.0,13.3,11.0,4.7,75.9
TCGA-42-2591-01Z-00-DX1.ea85e14f-5f0a-4ed0-9afe-025bb95fca40,176,57.8,34.1,21.3,11.5,94.3
TCGA-42-2593-01Z-00-DX1.9d506f1d-a5b3-4643-bd12-91c33fae4286,40,70.5,22.0,14.2,42.2,92.8
TCGA-57-1582-01Z-00-DX1.BDF02DAA-E520-46BD-A479-58CAA4354B1A,23,50.4,28.8,18.0,20.8,85.0
TCGA-57-1582-DX1,23,50.4,28.8,18.0,20.8,85.0
TCGA-57-1583-01Z-00-DX1.88ACB045-1DBD-4F0B-A6D0-53B6C208805C,84,11.5,14.3,15.1,0.8,69.2
TCGA-57-1585-01Z-00-DX1.934E0F30-F804-4CFA-92D5-41576DA6C367,55,29.1,65.9,37.1,0.3,100.0
TCGA-57-1586-01Z-00-DX1.5C85A9B1-9ACC-4D62-BA09-91F8BDB2A058,58,28.4,32.0,22.5,3.0,82.2
TCGA-57-1993-01Z-00-DX1.464F641B-AA9F-49A7-A224-88D9847159DF,40,42.0,17.5,16.3,15.1,87.6
TCGA-57-1994-01Z-00-DX1.A0798185-30C5-4C32-B1A8-B440D4F4ED95,35,47.6,29.6,21.6,20.3,99.1
TCGA-VG-A8LO-01A-01-DX1.B39A4D64-82A1-4A04-8AB6-918F3058B83B,20,27.7,28.1,17.7,3.7,66.8
TCGA-VG-A8LO-01A-02-DX2.9B58474C-DAC0-4D45-B13C-0A1EA9E1BC32,36,29.1,18.3,11.2,4.9,47.7
