slide,площадь_мм2,опухоль_%,гормональная_%,матриксная_%,TSR,гормональная_в_строме_%,левая_половина_%,правая_половина_%,расхождение_половин
TCGA-13-A5FT-01Z-00-DX1.2B292DC8-7336-4CD9-AB1A-F6F482E6151A,450.9,64.4,18.9,16.6,0.356,53.2,54.1,52.4,1.7
TCGA-23-1028-01Z-00-DX1.117B4B7B-F796-4D33-A645-CD80E5C43E6D,147.1,19.5,36.2,44.3,0.805,44.9,44.5,45.4,1.0
TCGA-23-2643-01Z-00-DX1.E60DF03D-326E-4182-84DA-77263C4C52B3,119.8,34.9,49.3,15.7,0.651,75.8,60.1,82.1,22.0
TCGA-42-2582-01Z-00-DX1.891d6182-c96b-4709-abeb-314d6874856a,61.4,64.7,10.4,24.9,0.353,29.4,36.0,19.6,16.4
TCGA-42-2587-01Z-00-DX1.7a887a16-a8bc-403b-ab71-a8b43e5613fc,48.2,85.1,3.8,11.1,0.149,25.8,31.2,18.8,12.4
TCGA-42-2588-01Z-00-DX1.e0bd9f78-2078-4bc3-867b-136d117f7b13,82.3,52.1,22.2,25.6,0.479,46.4,46.2,46.7,0.5
TCGA-42-2589-01Z-00-DX1.c3abd56a-7d75-4972-982f-3d86da96ad1b,54.4,73.0,13.1,13.9,0.27,48.6,45.6,51.5,5.9
TCGA-42-2590-01Z-00-DX1.83ff5df9-0f36-4884-a93e-f2928ff3c719,161.1,78.7,5.7,15.5,0.213,27.0,27.9,26.1,1.8
TCGA-42-2591-01Z-00-DX1.ea85e14f-5f0a-4ed0-9afe-025bb95fca40,130.5,58.2,24.2,17.5,0.418,58.0,58.5,57.5,1.1
TCGA-42-2593-01Z-00-DX1.9d506f1d-a5b3-4643-bd12-91c33fae4286,27.2,69.6,20.1,10.3,0.304,66.2,69.1,62.9,6.3
TCGA-57-1582-01Z-00-DX1.BDF02DAA-E520-46BD-A479-58CAA4354B1A,14.4,68.8,16.7,14.5,0.312,53.6,39.6,66.5,26.9
TCGA-57-1583-01Z-00-DX1.88ACB045-1DBD-4F0B-A6D0-53B6C208805C,84.6,82.3,3.1,14.6,0.177,17.4,14.7,19.2,4.5
TCGA-57-1585-01Z-00-DX1.934E0F30-F804-4CFA-92D5-41576DA6C367,36.0,51.2,14.4,34.4,0.488,29.5,30.0,29.0,0.9
TCGA-57-1586-01Z-00-DX1.5C85A9B1-9ACC-4D62-BA09-91F8BDB2A058,44.6,85.7,5.7,8.7,0.143,39.6,25.5,50.8,25.3
TCGA-57-1993-01Z-00-DX1.464F641B-AA9F-49A7-A224-88D9847159DF,28.4,46.0,21.7,32.2,0.54,40.3,40.3,40.2,0.1
TCGA-57-1994-01Z-00-DX1.A0798185-30C5-4C32-B1A8-B440D4F4ED95,25.3,88.1,5.5,6.4,0.119,46.0,63.9,33.8,30.1
TCGA-VG-A8LO-01A-01-DX1.B39A4D64-82A1-4A04-8AB6-918F3058B83B,9.7,59.7,10.9,29.4,0.403,27.1,13.6,37.4,23.8
TCGA-VG-A8LO-01A-02-DX2.9B58474C-DAC0-4D45-B13C-0A1EA9E1BC32,26.2,86.0,3.8,10.2,0.14,26.9,26.0,27.9,1.9
